id,listing_url,name,summary,description,host_id,host_since,host_location,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,street,neighbourhood,city,state,zipcode,smart_location,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy
1775431,https://www.airbnb.com/rooms/1775431,,,,9323338,2013,,0.71,,,,,,Westerpark,Amsterdam,North Holland,1051 KA,,52.38265518,4.869356804,,Apartment,Entire home/apt,4,1,2,4,Real Bed,,95,,,100,,2,20,1,,,9,19/09/2013,21/09/2015,100,10,10,9,10,10,10,,
4090544,https://www.airbnb.com/rooms/4090544,,,,9331111,2013,,0.59,,,,,,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 JG,,52.36428617,4.864034888,,Apartment,Entire home/apt,2,1,1,2,Real Bed,,120,,,,10,1,25,2,,,3,18/11/2013,2/7/2015,100,10,10,10,10,10,10,,
1777432,https://www.airbnb.com/rooms/1777432,,,,9331818,2013,,1,,,,,,Buitenveldert - Zuidas,Amsterdam,North Holland,1076 LA,,52.34189408,4.862250589,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,110,,,100,75,1,30,1,,,14,3/8/2013,5/9/2015,100,10,10,10,10,9,9,,
3741730,https://www.airbnb.com/rooms/3741730,,,,9349499,2013,,0.46,,,,,,Centrum-West,Amsterdam,North Holland,1016 VC,,52.36884974,4.877942199,,Apartment,Entire home/apt,4,1,0,2,Real Bed,,85,,,,50,2,10,1,,,17,25/11/2013,9/8/2015,88,9,7,9,9,10,9,,
1781662,https://www.airbnb.com/rooms/1781662,,,,9351934,2013,,0.95,,,,,,Centrum-West,Amsterdam,North Holland,1016 PL,,52.3747424,4.879874608,,Apartment,Entire home/apt,4,1,2,3,Real Bed,,170,,,750,180,1,0,1,,,39,11/9/2013,27/07/2015,88,9,8,10,9,10,9,,
1784060,https://www.airbnb.com/rooms/1784060,,,,9364369,2013,,1,,,,,,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072,,52.3552296,4.888737099,,Apartment,Entire home/apt,1,1,1,1,Real Bed,,75,,,,35,1,0,3,,,44,10/9/2013,15/08/2015,97,10,10,10,10,10,9,,
1831630,https://www.airbnb.com/rooms/1831630,,,,9364835,2013,,N/A,,,,,,Oud-Oost,Amsterdam,North Holland,1091 TG,,52.35431029,4.910925781,,Apartment,Entire home/apt,4,1,2,1,Real Bed,,150,,,,,1,0,3,,,0,2/7/2013,28/07/2015,,,,,,,,,
1787934,https://www.airbnb.com/rooms/1787934,,,,9367465,2013,,0.9,,,,,,Oud-Oost,Amsterdam,North Holland,1091,,52.35111547,4.915617995,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,75,,,200,100,1,0,2,,,4,25/06/2013,26/07/2015,90,9,10,10,10,9,10,,
1784824,https://www.airbnb.com/rooms/1784824,,,,9367538,2013,,0.92,,,,,,Zuid,Amsterdam,North Holland,1054,,52.35754635,4.865523202,,Apartment,Entire home/apt,2,1,1,1,Real Bed,,99,,,,75,1,10,3,,,13,14/07/2013,19/08/2015,97,10,9,10,10,9,9,,
1850613,https://www.airbnb.com/rooms/1850613,,,,9369116,2013,,0.34,,,,,,Centrum-Oost,Amsterdam,North Holland,1093 GE,,52.36690465,4.921233465,,Apartment,Entire home/apt,4,1,2,2,Real Bed,,105,,,300,70,2,40,2,,,13,10/5/2013,17/09/2015,97,10,10,10,10,9,9,,
